# CLT Analysis Results: 1keta
# Total thickness: 0.805000 mm
# Number of plies: 7
#
Property,Value,Unit
Ex,104726.457,MPa
Ey,57336.719,MPa
Gxy,18059.058,MPa
nu_xy,0.1513,-

Full Orthotropic Properties,,
Ex,104726.457,MPa
Ey,57336.719,MPa
Ez,8830.000,MPa
Gxy,18059.058,MPa
Gyz,4120.000,MPa
Gzx,4120.000,MPa
nu_xy,0.1513,-
nu_yz,0.4500,-
nu_zx,0.4500,-

Equivalent Isotropic (for FEA),,
E_iso,64171.7,MPa
nu_iso,0.28,-
