# Keta position[mm], z displacement [mm]
0,0
600, 2.5
3000, 61
4750, 147.2 #上反角スタート
5505, 246.17 #sin(4 degree)*(5505-4750) + 193.5
7505, 599.08 #sin(4 degree)*(7505-4750) + 406.9
9400, 1008.37 #sin(4 degree)*(9400-4750) + 684.0
